date,url,rating,user,opinion
on 16 June 2018,/gp/customer-reviews/R2WINMAU248U2O?ASIN=B01DDP7D6W,3.0,Surendra,"It's an okay phone.Don't expect much from it.Avarage sound quality and cameras.There are better options available for this price.If you're like me and consider the brand value, go ahead and buy.But, don't expect much."
on 15 September 2017,/gp/customer-reviews/RHJVXLBEVVHE1?ASIN=B01DDP7D6W,4.0,Srinivas Challa,Bought for my father so far it is so decent and looking and working well I read it 4 because sometimes it is heating more it is really was for the morning that I spent thank you Samsung
on 7 August 2017,/gp/customer-reviews/R3ALO4968YYF8Y?ASIN=B01DDP7D6W,1.0,ruby,It works very slow. Since the day I purchased. It's been a month.. And I donno if it can be replaced.. Not happy with the product..
on 28 September 2017,/gp/customer-reviews/RLM0T8YTPBLI3?ASIN=B01DDP7D6W,1.0,The Joker,Very bad phone... Phone heating up and battery is draining... When I called customer care they say they will send the techisian but the techisian has yet not come nor he is receiving the Call
on 24 September 2018,/gp/customer-reviews/R1OV31AWMAT5C0?ASIN=B01DDP7D6W,1.0,MOHAN REDDY ,Dislike because battery is discharged quickly with in hour after 100% charge
date,url,rating,user,opinion
on 29 June 2018,/gp/customer-reviews/R99YQIOQQM2XK?ASIN=B01DDP7D6W,2.0,Raghav,"Heats up like anything during charging.  Ofcourse Amazon after some interrogation through a home visiting agent, accepted for return."
on 29 May 2018,/gp/customer-reviews/R93T29V85GP9D?ASIN=B01DDP7D6W,4.0,Amazon Customer,"got timely delivered,nice phone,initially faced problem regarding photos &videos were not getting deleted,problem resolved after visiting samsung  service center at Vashi,Navi mumbai three times, in fact I gifted the mobile to Father in law aged 84 years staying at vashi navi mumbai,"
on 19 December 2017,/gp/customer-reviews/RQFGN8G8TW69X?ASIN=B01DDP7D6W,4.0,Shiv,"only 4 starts because I got a scratched piece at home key else it works fine, no lagging good battery life and fast processor"
on 21 March 2018,/gp/customer-reviews/R3MT1YV382F9SD?ASIN=B01DDP7D6W,4.0,Amazon Customer,"Wanted to avoid buying a Chinese product at the height of Doklam crisis, and hence the only other option available was this Samsung On7 Pro.I do not recevied Power adapter and usb cable.no ear phone received as well ."
on 22 September 2017,/gp/customer-reviews/R202EA1ZV0MUO7?ASIN=B01DDP7D6W,3.0,Siddhesh Athavale,Good for average use.Not for heavy use.Camera quality is acceptable in light
on 6 July 2018,/gp/customer-reviews/R25OO3U0YX99IC?ASIN=B01DDP7D6W,4.0,Rahul Singh,Budget phone with name of Samsung. Nice and great stuff for daily usage. Good phone to give a gift to family.
on 13 February 2018,/gp/customer-reviews/R1DPLV9G6Z6CRQ?ASIN=B01DDP7D6W,4.0,Neha,Bought it for my father. He loved the phone. As for now it's working good. Battery backup is fine.
on 6 October 2017,/gp/customer-reviews/R3UC99MELPAYC7?ASIN=B01DDP7D6W,2.0,revanth,"Battery backup is so worst charges lately and discharges quickly on net usage . 100% charge Comes upto 6 to 7hrs on full usageAnd camera quality is not up to the mark seems same as a 8mp camera of on5.Overall performance is good. Battery works good when unused,not single point drop over a night in standby"
on 18 October 2017,/gp/customer-reviews/R9DFZUXEM4IH1?ASIN=B01DDP7D6W,5.0,Joy Mukherjee,"Excellent MADE IN INDIA phone, high quality but low price due to no excise duty imposed on this product. I'm using since 18 months, no issue found."
on 23 January 2018,/gp/customer-reviews/R2UXXHGFZQ6KE7?ASIN=B01DDP7D6W,5.0,umesh,product quality and pacjkaging was good and if i talk about this mobile.all over good sound quality.display quality with camera quality.battery backup is also good.
date,url,rating,user,opinion
on 16 January 2017,/gp/customer-reviews/RCCIATMX3TCFY?ASIN=B01DDP7D6W,4.0,Kukil,It is good. You'll love it. Few Problems I must say still. 1) Charger too short. 2) Battery not that good. 3)Front Camera is not satisfactory.
on 3 June 2018,/gp/customer-reviews/R2Y4HOZ83KMQIF?ASIN=B01DDP7D6W,3.0,Amazon Customer,Main drawback of the mobile - is compatible for indian telecom operator sim only. This was never mentioned by Amazon or Samsung on the product display on its site. Otherwise the features are ok.
on 28 September 2018,/gp/customer-reviews/RS7X09CRRE27C?ASIN=B01DDP7D6W,3.0,Arvind Ramgovind Mishra,"this phone has touch issue,it's touch is not working on all four corners... if you are looking for samsung phone for good quality then don't go for it...how!! it's first time i got samsung's defective product"
on 24 October 2017,/gp/customer-reviews/R1LQLWOMGOQF69?ASIN=B01DDP7D6W,5.0,Avinash Chauhan,Amazing Phone on this Range ....super slim body...play HD videos very smoothly....Speaker is also very good. Very very Good back camera and front camera is also nice..
on 13 November 2016,/gp/customer-reviews/R3SIURZ37LVM9R?ASIN=B01DDP7D6W,4.0,Subrata,There are lot of review for it. So I don't want to say more. Only one thing is very bad and irritating that Bluetooth will be activate automatically when call is going. Samsung should manage it.
on 19 February 2018,/gp/customer-reviews/R2CRSSLL5HOUV5?ASIN=B01DDP7D6W,4.0,VINAY KUMAR GUPTA,Its best smartphone in this price category with an elegant look and specs. after handling this phone one cant say that this phone comes at such a price. good features with sufficient battery & storage..I hv already buyed this product for 3rd time.
on 16 October 2017,/gp/customer-reviews/R1DELSZ7CMTKQ8?ASIN=B01DDP7D6W,2.0,archana,a big issue of storage as downloaded apps can't move from internal storage to sd card i used number of sets of samsung which all have this transfer facility ...why  on7 pro dont have this feature.....
on 24 April 2018,/gp/customer-reviews/R1PARHZK5BD5NU?ASIN=B01DDP7D6W,1.0,preshila khalkho,It's one month's and it stopped working...neither data nor voice calls are active..
on 22 January 2018,/gp/customer-reviews/R1MXN7VQN2484U?ASIN=B01DDP7D6W,5.0,Gautam chaturvedi,Nice phone with best quality I have used it for 2years I didn't face any problem  it never hangs it comes with nice looks this is best option for me
on 11 August 2017,/gp/customer-reviews/R3HG5CBKGI7ZQA?ASIN=B01DDP7D6W,5.0,Sukanta,Very good phone i am using it last nine months without any trouble .
date,url,rating,user,opinion
on 7 December 2016,/gp/customer-reviews/R3N71I19BYJ3K1?ASIN=B01DDP7D6W,5.0,Chandan Bhattacharya,Very Good quality product from Samsung and amazon has given a great deal with no cost emi from Bajaj Finance.
on 1 February 2018,/gp/customer-reviews/R65D6Z4TL6GXI?ASIN=B01DDP7D6W,2.0,Amazon Customer,Ummeed ke anurup ye product nahi hai .keemat ke hisab Se quality nahi hai.back camera quality very poor. 13mp jaisi koi baat nahi.front flash and finger senser not given in this phone.
on 18 July 2017,/gp/customer-reviews/R3JMCH3AD48CPR?ASIN=B01DDP7D6W,3.0,Mazharuddin Mohammad,Device is good as it is budget phone...but would like to say display can be much better. Rest all stays uprite. Overall I can recommend this phone as a budget bag.
on 11 November 2017,/gp/customer-reviews/R2VBINE0VGJGTB?ASIN=B01DDP7D6W,3.0,Amazon Customer,Dir sir manay apkay mobile ka payammte visa card sha karat hu laki ushik 10 cash bace abhi tak jam nahi hua hay dir sir may jan sakata hubkab jam hoga koi time ples
on 25 January 2018,/gp/customer-reviews/R2TJ8GZZIQYR1I?ASIN=B01DDP7D6W,4.0,Harish,No issues with the phone! Good phone!
on 5 October 2018,/gp/customer-reviews/RCY8RCIR2RCII?ASIN=B01DDP7D6W,1.0,Amazon Customer,Worst purchase ever. Phone stops and switched off after 51% of charging. It been only 13 months and it's been troublesome having to carry it around.
on 30 January 2018,/gp/customer-reviews/R3HRO1DXGB8E6I?ASIN=B01DDP7D6W,3.0,Ashutosh Bhuyan,"Good phone, needed some improvement"
on 27 September 2017,/gp/customer-reviews/R20FKEHULU491A?ASIN=B01DDP7D6W,2.0,Amazon Customer,Basic Android phone not satisfied..Front camera is worst...😡Guys please don't buy this product
on 21 September 2018,/gp/customer-reviews/R1MKQLV8RYV75K?ASIN=B01DDP7D6W,4.0,Amazon Customer,I like this phone Samsung ON 7 in all respect. Only thing is that the battery backup is very low. We can use the mobile for 8 hours after 100 % recharge. if we have power bank then no issue. Anyway this is good phone in low budget.Thanks
on 1 September 2017,/gp/customer-reviews/R1KU1HRGQZ9OXG?ASIN=B01DDP7D6W,5.0,Shekhar,"Yes , i had buy it for my aunty and she is very happy with it.delievery is good, i got original piece and no defect.camera is excellent and proccessor work very well which make surfing on mobile memorable."
date,url,rating,user,opinion
on 25 July 2018,/gp/customer-reviews/R7VOIOO3VFMAH?ASIN=B01DDP7D6W,5.0,Deepan,The product is good. Ordered through cloudtail and it came out to be nice. Quick delivery and my dad likes it. Samsung has too many phones on the stable to comment about that.
on 26 October 2017,/gp/customer-reviews/RPBDQDPDMPU5Z?ASIN=B01DDP7D6W,4.0,Rohit,It works awesome .It's all function are working properly .Best Smartphone Under 9k & most important it is of the SAMSUNG brand.It's Camera decent although it's front camera not so good but it can be okay.It has also a strong battery back up.It's okay to purchase this instead of going to other brands mobile .
on 24 January 2018,/gp/customer-reviews/R1QVPPOSKK6SJ0?ASIN=B01DDP7D6W,5.0,Irfan,Awesome phone with good specs and amazing look....
on 24 September 2017,/gp/customer-reviews/R1Z55G6HG2BEV3?ASIN=B01DDP7D6W,5.0,Dinesh Motivaras,very good
on 20 February 2018,/gp/customer-reviews/R1U7V2M5VRR3MY?ASIN=B01DDP7D6W,5.0,Shivaji,Good smartphone battery backup good nice look Samsung brand always reliable really nice gadget under 7.5 k
on 7 September 2017,/gp/customer-reviews/R1KQIZLMYE030L?ASIN=B01DDP7D6W,1.0,Amazon Customer,BATTERY QUALITY NOT GOOD.during charging heated up.
on 20 August 2017,/gp/customer-reviews/R11GSZQMYO05WA?ASIN=B01DDP7D6W,4.0,AMAN Kumar,Good phone.. But the display quality of this phone is very bad... Otherwise... It's a good in all other maanee
on 4 December 2017,/gp/customer-reviews/R30YJEWPWRZJ9C?ASIN=B01DDP7D6W,1.0,Amazon Customer,Unfortunately the head phone is not working and when tried to log complaint no option available to gove complaint in your menu options.  you are taking customers for a ride..rwvert immediately
on 27 July 2017,/gp/customer-reviews/R3EZNZCXHQHY49?ASIN=B01DDP7D6W,4.0,Love Ritik,"Good but camera is excellent, samsung please increase your ram in other flagship and change the price, your price is too high"
on 11 August 2017,/gp/customer-reviews/R3AOUUTHYNYTNA?ASIN=B01DDP7D6W,4.0,Nympha,I thought it would be a OK phone but I was wrong this phone was quite a good one for its price it had a good battery life good amt. Good storage 2
date,url,rating,user,opinion
on 22 January 2018,/gp/customer-reviews/R18I74OTWG5DV4?ASIN=B01DDP7D6W,4.0,Amit tiwari,It is good phone in lowest price with brand like samsung but display is not strong as other samsung phone so little bit careful while using i bought 3 phone within 2 month
on 20 July 2018,/gp/customer-reviews/R2N1CT4G38533Z?ASIN=B01DDP7D6W,4.0,Soni,Working good since 1 year after throwing and water tested by children😃😂
on 28 June 2018,/gp/customer-reviews/R2LDQD6Q3XZ8EN?ASIN=B01DDP7D6W,1.0,Chetan Nalavade,"No VOLTE, poor battery backup, schedule power ON OFF option not available, Network connectivity problem to my handset, want to return it."
on 3 March 2018,/gp/customer-reviews/R2OFBT3E702N0I?ASIN=B01DDP7D6W,1.0,kiran ramdas pakde,"Worst mobile, just after 20 days problems started in device.gets restarted again and again, led flash starts automatically."
on 1 October 2018,/gp/customer-reviews/R2ICJJVJADZT3L?ASIN=B01DDP7D6W,1.0,Kunja b.Bhoi,This mobile is not good.purches after 7-10 days under display light up down.brightness problem and  1 month later sometimes mobile automatic swich off.now this mobile i shutdown so attend mobiles reappearing centre.very very very bad mobile for me
on 22 November 2017,/gp/customer-reviews/R2TIDH8RJLPZT5?ASIN=B01DDP7D6W,5.0,@Ashit,"Loved the device, worth the price"
on 15 August 2018,/gp/customer-reviews/R36H2KHFOPBSSV?ASIN=B01DDP7D6W,4.0,Amit G.,worth the price. the camera and and keyboard could have been better which are not upto the mark.
on 3 March 2018,/gp/customer-reviews/R12C45MF1ZZVL6?ASIN=B01DDP7D6W,5.0,Prof. Dr.Puneet Mahajan,Nicely Packed & Sealed well. Device is awesomely great & promisngly cost effective.
on 4 January 2018,/gp/customer-reviews/R2LGXY0N8VV8LM?ASIN=B01DDP7D6W,2.0,ROHIT,On7 pro not bad for 6 months afterthat hanging problem touch proble too many problems facing this phone
on 22 September 2017,/gp/customer-reviews/R2KVZ62DRDA521?ASIN=B01DDP7D6W,3.0,Syeda,Selfie comes with high exposure and less sharpness. But it is a great phone otherwise!
date,url,rating,user,opinion
on 8 May 2018,/gp/customer-reviews/R2ZYKB34PIRQ2R?ASIN=B01DDP7D6W,4.0,Shiv kant,Nice and strong... Good budget phone.... lot Better than cheap Chinese phones
on 24 March 2018,/gp/customer-reviews/R4N0J6RVSS5VV?ASIN=B01DDP7D6W,3.0,Hemant singh mehta,Overall gud package...okk now quick review..Pros-Nice build qualityCPU is faster enoughCamera is averageCons-Front camera not so gudBattery is not enough if you are gamerSo that's the review
on 10 November 2016,/gp/customer-reviews/R9AFEWPH0G3WC?ASIN=B01DDP7D6W,5.0,Ratnam Boddukuri,Awesome phone. For that price it's a very best deal. Working fine fully satisfied. Just go for it without second thought. Deliver in 3 days. I ordered one more Cell for my mother-in-law.
on 16 November 2017,/gp/customer-reviews/R34QO99N5IC02Q?ASIN=B01DDP7D6W,3.0,Uday Kiran,Poor battery backup ...Software issuesBattery drains after 6 months of usage.
on 15 December 2017,/gp/customer-reviews/R1AJPJPJ4IV801?ASIN=B01DDP7D6W,4.0,Chocolaty_Armaan,We all know about samsung mobile phones and this phone is really best in this price if you a samsung lover then you must go for it...
on 26 September 2017,/gp/customer-reviews/R3KKOQBHJWQSK4?ASIN=B01DDP7D6W,1.0,mvs rama krishna,I am not happy with Samsung brand.other competitors are giving best features  at the same price of on7pro. Highly dis satisfied product.next time I will never buy Samsung product.but I am happy with Amazon service
on 22 December 2017,/gp/customer-reviews/R103W7F1W6WTK7?ASIN=B01DDP7D6W,5.0,Ganesh DG,Working fine as of date... Thanks to Amazon services
on 14 October 2017,/gp/customer-reviews/R35PN95A7GW27W?ASIN=B01DDP7D6W,3.0,GANESH PAWAR,"I bought this on September deals got for around 7000rs . Camera quality great, battery life quite ok , no hanging issues till but heats so much especially while surfing or downloading within 5 minutes 3 stars"
on 19 December 2017,/gp/customer-reviews/R1FGKV3SY1VXWL?ASIN=B01DDP7D6W,5.0,Avinash,Good Product and very Useful
on 27 October 2017,/gp/customer-reviews/R1KG0L76Q74Z9O?ASIN=B01DDP7D6W,5.0,saikumar,"I bought two mobiles, good battery backup, camera,performance wise overall good"
date,url,rating,user,opinion
on 14 April 2018,/gp/customer-reviews/R2L60O9ACSXJYF?ASIN=B01DDP7D6W,5.0,Amazon Customer,I bought this phone for my father as he uses it very less. This phone is working grt with nice battery back up. Nice camera quality in such a price range.
on 6 October 2017,/gp/customer-reviews/R3VLE2TIAMLMR2?ASIN=B01DDP7D6W,3.0,Amazon Customer,It's a good quality product of Samsung.
on 30 November 2017,/gp/customer-reviews/R2XCO7RAQYIA8I?ASIN=B01DDP7D6W,2.0,Rahul Hazra,Bad experience used this phoneNot good battery quality and take to much time for typing anything although internal memory 6 gb free. Very bad experienceBut camera quality is very good
on 27 January 2017,/gp/customer-reviews/R1PB1IMIGZQGGP?ASIN=B01DDP7D6W,3.0,KalkiAvatar5,The product wi-fi is weak and does not work properly. It is a pain.
on 19 July 2017,/gp/customer-reviews/R23FFB8HGPNCE?ASIN=B01DDP7D6W,3.0,mahendra,Everything  is fine except the camera. 13 megapixels front camera gives such a poor image that no can believe. there is not synchronization between flash and snap. when the flash is over it takes the photos. thanks
on 11 December 2017,/gp/customer-reviews/R1QK95KTM0E7TP?ASIN=B01DDP7D6W,5.0,Kamal Rajpal,Excellent phone. I am using last 1 month and it is worth the money. Good speed. Camera too good.Best phone compared to price
on 14 October 2017,/gp/customer-reviews/RAUCLQA5X7T55?ASIN=B01DDP7D6W,4.0,Amazon Customer,another good samsung phone
on 27 April 2018,/gp/customer-reviews/RXLUTL9KNWR9N?ASIN=B01DDP7D6W,5.0,akash thapa,Thankyou for faster and better delivery.Btw i bought it for my sister and she is happier than before.Trust me I can't afford even this range of phone at this point of time......and I am glad that the phone works absolutely fine ..
on 21 April 2018,/gp/customer-reviews/R1OIZUZKDDPZMO?ASIN=B01DDP7D6W,2.0,Ashish,Previously I had #on7 and it worked perfectly but this #on7Pro ain't good. Initial review- SlowSELLER didn't provide me the earphone
on 13 April 2018,/gp/customer-reviews/R213RWD7SC5708?ASIN=B01DDP7D6W,5.0,Bhaskar Charan Behera,good
date,url,rating,user,opinion
